Tahun,Negeri,Klasifikasi Kemalangan,Lebuh Raya,Jalan Persekutuan,Jalan Negeri,Jalan Bandaran,Lain-lain Jalan,Jumlah,
2017, Perlis , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,498,"1,029",178,220,"1,925",
2017, Perlis , Kemalangan Maut ,0,15,31,8,6,60,
2017, Perlis , Kematian ,0,16,32,8,6,62,
2017, Kedah , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"1,711","6,615","7,689","4,427","2,820","23,262",
2017, Kedah , Kemalangan Maut ,70,162,199,35,62,528,
2017, Kedah , Kematian ,77,169,212,35,67,560,
2017, Pulau Pinang , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"3,630","6,770","11,291","18,307","3,009","43,007",
2017, Pulau Pinang , Kemalangan Maut ,57,86,130,82,27,382,
2017, Pulau Pinang , Kematian ,65,91,132,85,28,401,
2017, Perak , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"5,142","8,154","8,799","13,726","2,766","38,587",
2017, Perak , Kemalangan Maut ,83,247,180,75,73,658,
2017, Perak , Kematian ,89,285,183,80,74,711,
2017, Selangor , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"29,801","15,668","17,020","86,382","6,087","154,958",
2017, Selangor , Kemalangan Maut ,260,196,187,320,84,"1,047",
2017, Selangor , Kematian ,279,202,191,329,86,"1,087",
2017, Kuala Lumpur , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"4,145","2,488","1,873","62,066","2,368","72,940",
2017, Kuala Lumpur , Kemalangan Maut ,40,5,6,175,7,233,
2017, Kuala Lumpur , Kematian ,40,5,6,176,9,236,
2017, Negeri Sembilan , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"4,161","4,930","5,875","5,621","4,354","24,941",
2017, Negeri Sembilan , Kemalangan Maut ,64,88,85,38,57,332,
2017, Negeri Sembilan , Kematian ,71,107,96,39,57,370,
2017, Melaka , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"1,053","2,743","7,168","5,780","2,027","18,771",
2017, Melaka , Kemalangan Maut ,19,43,98,39,18,217,
2017, Melaka , Kematian ,23,45,102,39,21,230,
2017, Johor , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"6,699","15,705","10,947","35,416","7,354","76,121",
2017, Johor , Kemalangan Maut ,130,269,202,218,167,986,
2017, Johor , Kematian ,136,302,220,232,177,"1,067",
2017, Pahang , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"2,492","8,829","2,328","4,946","2,218","20,813",
2017, Pahang , Kemalangan Maut ,43,226,83,32,62,446,
2017, Pahang , Kematian ,46,252,89,32,66,485,
2017, Kelantan , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"5,184","3,301","1,460",841,"10,786",
2017, Kelantan , Kemalangan Maut ,0,176,127,50,36,389,
2017, Kelantan , Kematian ,0,213,136,54,39,442,
2017, Terengganu , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,962,"3,826","2,538","2,154","1,233","10,713",
2017, Terengganu , Kemalangan Maut ,31,122,86,43,17,299,
2017, Terengganu , Kematian ,33,138,92,48,19,330,
2017, Sabah , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"7,611","7,972","1,017",644,"17,244",
2017, Sabah , Kemalangan Maut ,0,143,129,14,26,312,
2017, Sabah , Kematian ,0,162,142,17,30,351,
2017, Sarawak , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,61,"7,015","8,673","3,348",710,"19,807",
2017, Sarawak , Kemalangan Maut ,0,185,141,27,23,376,
2017, Sarawak , Kematian ,0,213,144,30,21,408,
2018, Perlis , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,421,"1,300",177,195,"2,093",
2018, Perlis , Kemalangan Maut ,0,17,36,3,5,61,
2018, Perlis , Kematian ,0,19,37,3,5,64,
2018, Kedah , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"1,559","6,658","7,634","4,412","2,976","23,239",
2018, Kedah , Kemalangan Maut ,38,156,204,31,49,478,
2018, Kedah , Kematian ,40,166,215,33,55,509,
2018, Pulau Pinang , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"3,868","7,401","11,548","18,741","4,176","45,734",
2018, Pulau Pinang , Kemalangan Maut ,62,70,133,97,19,381,
2018, Pulau Pinang , Kematian ,63,73,134,101,19,390,
2018, Perak , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"5,118","8,225","8,307","13,958","2,670","38,278",
2018, Perak , Kemalangan Maut ,75,215,164,84,95,633,
2018, Perak , Kematian ,87,243,173,89,101,693,
2018, Selangor , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"30,183","15,725","19,943","91,238","5,989","163,078",
2018, Selangor , Kemalangan Maut ,231,190,210,285,88,"1,004",
2018, Selangor , Kematian ,240,196,226,289,95,"1,046",
2018, Kuala Lumpur , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"3,508","1,838","1,355","63,562","2,021","72,284",
2018, Kuala Lumpur , Kemalangan Maut ,41,8,8,148,22,227,
2018, Kuala Lumpur , Kematian ,41,8,8,150,22,229,
2018, Negeri Sembilan , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"4,561","4,728","6,166","5,584","4,084","25,123",
2018, Negeri Sembilan , Kemalangan Maut ,71,92,99,20,59,341,
2018, Negeri Sembilan , Kematian ,79,99,103,21,60,362,
2018, Melaka , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,919,"2,296","8,164","5,778","1,963","19,120",
2018, Melaka , Kemalangan Maut ,17,37,92,34,5,185,
2018, Melaka , Kematian ,17,39,96,34,5,191,
2018, Johor , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"6,840","13,304","12,735","36,072","9,861","78,812",
2018, Johor , Kemalangan Maut ,113,271,198,190,126,898,
2018, Johor , Kematian ,124,302,222,197,132,977,
2018, Pahang , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"2,174","8,623","2,400","5,294","2,150","20,641",
2018, Pahang , Kemalangan Maut ,49,209,79,31,57,425,
2018, Pahang , Kematian ,58,252,85,31,59,485,
2018, Kelantan , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"5,133","3,651","1,221",978,"10,983",
2018, Kelantan , Kemalangan Maut ,0,164,109,68,39,380,
2018, Kelantan , Kematian ,0,180,127,73,40,420,
2018, Terengganu , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,909,"3,753","2,938","1,863","1,144","10,607",
2018, Terengganu , Kemalangan Maut ,18,101,93,26,18,256,
2018, Terengganu , Kematian ,21,112,98,26,18,275,
2018, Sabah , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"7,770","8,247","1,099",890,"18,006",
2018, Sabah , Kemalangan Maut ,0,154,92,7,27,280,
2018, Sabah , Kematian ,0,170,101,7,32,310,
2018, Sarawak , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"6,241","9,828","3,721",810,"20,600",
2018, Sarawak , Kemalangan Maut ,0,125,154,23,19,321,
2018, Sarawak , Kematian ,0,132,157,25,19,333,
2019, Perlis , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,403,"1,268",224,203,"2,098",
2019, Perlis , Kemalangan Maut ,0,22,39,4,9,74,
2019, Perlis , Kematian ,0,22,41,4,9,76,
2019, Kedah , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"1,680","7,450","7,865","4,722","3,150","24,867",
2019, Kedah , Kemalangan Maut ,41,146,183,29,40,439,
2019, Kedah , Kematian ,41,148,186,30,41,446,
2019, Pulau Pinang , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"3,993","7,629","12,193","18,679","4,704","47,198",
2019, Pulau Pinang , Kemalangan Maut ,76,80,118,76,20,370,
2019, Pulau Pinang , Kematian ,81,87,124,80,20,392,
2019, Perak , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"5,314","8,310","7,601","15,082","3,413","39,720",
2019, Perak , Kemalangan Maut ,88,218,173,62,75,616,
2019, Perak , Kematian ,100,244,182,66,75,667,
2019, Selangor , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"29,573","15,001","22,904","90,811","9,933","168,222",
2019, Selangor , Kemalangan Maut ,262,154,206,306,80,"1,008",
2019, Selangor , Kematian ,280,157,212,324,81,"1,054",
2019, Kuala Lumpur , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"3,743","2,000","1,900","64,140","1,988","73,771",
2019, Kuala Lumpur , Kemalangan Maut ,41,5,9,131,23,209,
2019, Kuala Lumpur , Kematian ,41,5,9,131,23,209,
2019, Negeri Sembilan , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"4,614","4,931","5,624","5,266","5,403","25,838",
2019, Negeri Sembilan , Kemalangan Maut ,77,68,93,20,55,313,
2019, Negeri Sembilan , Kematian ,85,73,100,24,55,337,
2019, Melaka , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"1,098","1,659","7,180","7,698","1,958","19,593",
2019, Melaka , Kemalangan Maut ,23,33,90,36,20,202,
2019, Melaka , Kematian ,25,40,94,38,20,217,
2019, Johor , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"7,115","15,210","12,703","40,244","7,230","82,502",
2019, Johor , Kemalangan Maut ,126,298,228,207,107,966,
2019, Johor , Kematian ,135,326,247,219,113,"1,040",
2019, Pahang , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"2,143","8,497","2,904","5,528","2,124","21,196",
2019, Pahang , Kemalangan Maut ,31,215,70,34,48,398,
2019, Pahang , Kematian ,34,261,74,35,50,454,
2019, Kelantan , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"5,022","3,663","1,475","1,135","11,295",
2019, Kelantan , Kemalangan Maut ,0,122,97,41,50,310,
2019, Kelantan , Kematian ,0,143,103,41,51,338,
2019, Terengganu , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,998,"3,938","3,049","1,947","1,423","11,355",
2019, Terengganu , Kemalangan Maut ,25,87,94,16,29,251,
2019, Terengganu , Kematian ,28,96,104,17,32,277,
2019, Sabah , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"6,617","8,624","1,655","1,624","18,520",
2019, Sabah , Kemalangan Maut ,0,119,94,22,21,256,
2019, Sabah , Kematian ,0,139,103,27,22,291,
2019, Sarawak , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"5,800","9,395","4,955","1,191","21,341",
2019, Sarawak , Kemalangan Maut ,0,113,162,39,38,352,
2019, Sarawak , Kematian ,0,120,170,39,40,369,
2020, Perlis , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,332,924,192,167,"1,615",
2020, Perlis , Kemalangan Maut ,0,9,25,6,3,43,
2020, Perlis , Kematian ,0,9,26,7,4,46,
2020, Kedah , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"1,244","4,924","6,620","4,142","2,721","19,651",
2020, Kedah , Kemalangan Maut ,29,103,153,27,31,343,
2020, Kedah , Kematian ,29,106,159,28,32,354,
2020, Pulau Pinang , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"3,025","4,678","9,297","13,670","4,564","35,234",
2020, Pulau Pinang , Kemalangan Maut ,43,49,111,57,18,278,
2020, Pulau Pinang , Kematian ,47,49,114,58,19,287,
2020, Perak , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"4,270","6,080","5,113","12,368","2,838","30,669",
2020, Perak , Kemalangan Maut ,51,140,115,84,40,430,
2020, Perak , Kematian ,56,162,136,92,45,491,
2020, Selangor , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"19,120","10,363","16,937","65,627","11,183","123,230",
2020, Selangor , Kemalangan Maut ,201,117,153,241,52,764,
2020, Selangor , Kematian ,216,125,158,250,56,805,
2020, Kuala Lumpur , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"3,626",862,"1,174","41,917","2,636","50,215",
2020, Kuala Lumpur , Kemalangan Maut ,48,5,8,90,10,161,
2020, Kuala Lumpur , Kematian ,48,5,8,91,11,163,
2020, Negeri Sembilan , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"3,245","3,568","5,020","4,258","3,814","19,905",
2020, Negeri Sembilan , Kemalangan Maut ,42,65,69,19,24,219,
2020, Negeri Sembilan , Kematian ,45,69,73,19,29,235,
2020, Melaka , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,775,"1,010","4,977","5,458","2,323","14,543",
2020, Melaka , Kemalangan Maut ,14,21,78,15,14,142,
2020, Melaka , Kematian ,15,21,85,15,15,151,
2020, Johor , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"4,573","11,310","8,449","29,446","4,429","58,207",
2020, Johor , Kemalangan Maut ,83,196,133,142,84,638,
2020, Johor , Kematian ,92,221,146,150,88,697,
2020, Pahang , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"1,631","5,862","2,774","4,795","1,938","17,000",
2020, Pahang , Kemalangan Maut ,33,127,81,28,44,313,
2020, Pahang , Kematian ,41,145,93,30,47,356,
2020, Kelantan , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"3,899","3,527","1,233","1,093","9,752",
2020, Kelantan , Kemalangan Maut ,0,93,84,42,46,265,
2020, Kelantan , Kematian ,0,95,86,44,51,276,
2020, Terengganu , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,818,"2,781","2,242",899,"2,412","9,152",
2020, Terengganu , Kemalangan Maut ,17,67,74,9,41,208,
2020, Terengganu , Kematian ,17,83,79,12,47,238,
2020, Sabah , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"4,626","5,682",968,"1,630","12,906",
2020, Sabah , Kemalangan Maut ,0,94,63,13,20,190,
2020, Sabah , Kematian ,0,113,70,15,22,220,
2020, Sarawak , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,"2,997","5,386","6,084","1,691","16,158",
2020, Sarawak , Kemalangan Maut ,0,92,111,59,41,303,
2020, Sarawak , Kematian ,0,100,111,62,42,315,
2021, Perlis , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,0,193,565,66,81,905,
2021, Perlis , Kemalangan Maut ,0,3,15,1,1,20,
2021, Perlis , Kematian ,0,3,15,1,1,20,
2021, Kedah , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,546,"2,489","3,655","2,375","1,567","10,632",
2021, Kedah , Kemalangan Maut ,15,66,85,19,34,219,
2021, Kedah , Kematian ,15,68,87,26,35,231,
2021, Pulau Pinang , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"1,481","1,698","4,853","7,504","2,630","18,166",
2021, Pulau Pinang , Kemalangan Maut ,30,22,68,50,16,186,
2021, Pulau Pinang , Kematian ,31,22,68,51,16,188,
2021, Perak , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"1,644","2,938","2,403","6,658","1,947","15,590",
2021, Perak , Kemalangan Maut ,26,87,81,52,44,290,
2021, Perak , Kematian ,28,90,83,53,49,303,
2021, Selangor , Kes Siasatan Trafik (KST) Kemalangan Jalan Raya Dibuka ,"8,927","4,574","8,282","33,029","5,035","59,847",
2021, Selangor , Kemalangan Maut ,88,66,100,103,41,398,
2021, Selangor , Kematian ,95,70,105,107,48,425,
