Type of Vehicle,Year,Value
Bus,2000,530
Bus,2001,628
Bus,2002,868
Bus,2003,529
Bus,2004,512
Bus,2005,87
Bus,2006,374
Bus,2007,73
Bus,2008,70
Bus,2009,50
Bus,2010,46
Bus,2011,225
Bus,2012,214
Bus,2013,176
Bus,2014,199
Bus,2015,135
Bus,2016,138
Bus,2017,129
Bus,2018,245
Bus,2019,96
Jeep,2000,555
Jeep,2001,487
Jeep,2002,335
Jeep,2003,573
Jeep,2004,585
Jeep,2005,282
Jeep,2006,232
Jeep,2007,229
Jeep,2008,245
Jeep,2009,209
Jeep,2010,235
Jeep,2011,495
Jeep,2012,510
Jeep,2013,461
Jeep,2014,428
Jeep,2015,402
Jeep,2016,415
Jeep,2017,615
Jeep,2018,448
Jeep,2019,225
Trailer/Lorry,2000,1065
Trailer/Lorry,2001,921
Trailer/Lorry,2002,131
Trailer/Lorry,2003,1227
Trailer/Lorry,2004,1226
Trailer/Lorry,2005,698
Trailer/Lorry,2006,601
Trailer/Lorry,2007,550
Trailer/Lorry,2008,487
Trailer/Lorry,2009,455
Trailer/Lorry,2010,400
Trailer/Lorry,2011,654
Trailer/Lorry,2012,570
Trailer/Lorry,2013,456
Trailer/Lorry,2014,489
Trailer/Lorry,2015,467
Trailer/Lorry,2016,403
Trailer/Lorry,2017,639
Trailer/Lorry,2018,506
Trailer/Lorry,2019,367
Motorcar,2000,6720
Motorcar,2001,7231
Motorcar,2002,3054
Motorcar,2003,8127
Motorcar,2004,8340
Motorcar,2005,4525
Motorcar,2006,3535
Motorcar,2007,3514
Motorcar,2008,3303
Motorcar,2009,3556
Motorcar,2010,3003
Motorcar,2011,4868
Motorcar,2012,4677
Motorcar,2013,3944
Motorcar,2014,3536
Motorcar,2015,3710
Motorcar,2016,3814
Motorcar,2017,5359
Motorcar,2018,4111
Motorcar,2019,2910
Motorcycle,2000,33645
Motorcycle,2001,33627
Motorcycle,2002,8782
Motorcycle,2003,34248
Motorcycle,2004,35727
Motorcycle,2005,27445
Motorcycle,2006,19394
Motorcycle,2007,18151
Motorcycle,2008,17533
Motorcycle,2009,17172
Motorcycle,2010,15726
Motorcycle,2011,16240
Motorcycle,2012,15485
Motorcycle,2013,12694
Motorcycle,2014,12810
Motorcycle,2015,11721
Motorcycle,2016,12554
Motorcycle,2017,17086
Motorcycle,2018,15498
Motorcycle,2019,9996
Vans,2000,1156
Vans,2001,1060
Vans,2002,546
Vans,2003,1056
Vans,2004,921
Vans,2005,381
Vans,2006,286
Vans,2007,281
Vans,2008,241
Vans,2009,191
Vans,2010,213
Vans,2011,364
Vans,2012,337
Vans,2013,255
Vans,2014,232
Vans,2015,242
Vans,2016,176
Vans,2017,380
Vans,2018,259
Vans,2019,170
Bicycle,2000,2128
Bicycle,2001,2208
Bicycle,2002,514
Bicycle,2003,2226
Bicycle,2004,2354
Bicycle,2005,1565
Bicycle,2006,1190
Bicycle,2007,979
Bicycle,2008,818
Bicycle,2009,785
Bicycle,2010,613
Bicycle,2011,598
Bicycle,2012,516
Bicycle,2013,417
Bicycle,2014,307
Bicycle,2015,255
Bicycle,2016,241
Bicycle,2017,384
Bicycle,2018,320
Bicycle,2019,201
Pedestrian,2000,0 
Pedestrian,2001,0 
Pedestrian,2002,0 
Pedestrian,2003,4049
Pedestrian,2004,3980
Pedestrian,2005,3523
Pedestrian,2006,2799
Pedestrian,2007,2738
Pedestrian,2008,2399
Pedestrian,2009,2367
Pedestrian,2010,2161
Pedestrian,2011,1859
Pedestrian,2012,1629
Pedestrian,2013,1238
Pedestrian,2014,1356
Pedestrian,2015,1035
Pedestrian,2016,1040
Pedestrian,2017,855
Pedestrian,2018,1103
Pedestrian,2019,725
Others,2000,4395
Others,2001,4311
Others,2002,1367
Others,2003,706
Others,2004,446
Others,2005,276
Others,2006,196
Others,2007,176
Others,2008,178
Others,2009,175
Others,2010,130
Others,2011,267
Others,2012,501
Others,2013,259
Others,2014,347
Others,2015,291
Others,2016,292
Others,2017,577
Others,2018,476
Others,2019,354
