Tahun,Negeri,Fatal_Accidents,Fatalities,Total_Accidents,Population,Accidents_per_100k,Fatalities_per_100k
2016,Johor,1029.0,1135.0,73116.0,3651800.0,2002.1907004764773,31.080563010022452
2016,Kedah,539.0,572.0,23200.0,2119700.0,1094.4945039392367,26.984950700570838
2016,Kelantan,409.0,453.0,10544.0,1796700.0,586.8536761841153,25.21289029888128
2016,Kuala Lumpur,222.0,232.0,68866.0,1789700.0,3847.9074705257863,12.963066435715485
2016,Melaka,228.0,247.0,18601.0,901100.0,2064.2547996892686,27.410942181777827
2016,Negeri Sembilan,376.0,414.0,24428.0,1099300.0,2222.1413626853455,37.66032930046393
2016,Pahang,481.0,539.0,20465.0,1626700.0,1258.0684822032335,33.13456691461241
2016,Perak,719.0,789.0,38531.0,2482100.0,1552.3548608033518,31.787599210346077
2016,Perlis,66.0,67.0,2062.0,251000.0,821.5139442231076,26.693227091633467
2016,Pulau Pinang,398.0,411.0,42244.0,1717700.0,2459.335157478023,23.927344705128952
2016,Sabah,338.0,379.0,17298.0,3802800.0,454.87535500157776,9.966340591143368
2016,Sarawak,386.0,432.0,20065.0,2738700.0,732.6468762551576,15.773907328294447
2016,Selangor,1062.0,1140.0,151253.0,6291500.0,2404.0848764205675,18.119685289676546
2016,Terengganu,317.0,342.0,10793.0,1183400.0,912.0331248943722,28.89978029406794
2017,Johor,986.0,1067.0,76121.0,3697000.0,2058.993778739519,28.861238842304573
2017,Kedah,528.0,560.0,23262.0,2143900.0,1085.0319511171228,26.12062129763515
2017,Kelantan,389.0,442.0,10786.0,1829000.0,589.7211591033351,24.166211044286495
2017,Kuala Lumpur,233.0,236.0,72940.0,1793200.0,4067.5886683024764,13.160829801472229
2017,Melaka,217.0,230.0,18771.0,913100.0,2055.744168218158,25.188916876574307
2017,Negeri Sembilan,332.0,370.0,24941.0,1114000.0,2238.868940754039,33.21364452423698
2017,Pahang,446.0,485.0,20813.0,1647000.0,1263.691560412872,29.4474802671524
2017,Perak,658.0,711.0,38587.0,2493200.0,1547.689716027595,28.517567784373494
2017,Perlis,60.0,62.0,1925.0,252000.0,763.8888888888889,24.603174603174605
2017,Pulau Pinang,382.0,401.0,43007.0,1744100.0,2465.856315578235,22.991800928845823
2017,Sabah,312.0,351.0,17244.0,3855900.0,447.21076791410565,9.102933167353925
2017,Sarawak,376.0,408.0,19807.0,2766300.0,716.0105556158045,14.748942630951092
2017,Selangor,1047.0,1087.0,154958.0,6380700.0,2428.5423229426237,17.03574842885577
2017,Terengganu,299.0,330.0,10713.0,1208000.0,886.8377483443709,27.31788079470199
2018,Johor,898.0,977.0,78812.0,3749400.0,2101.9896516776016,26.057502533738734
2018,Kedah,478.0,509.0,23239.0,2163000.0,1074.3874248728619,23.53213129912159
2018,Kelantan,380.0,420.0,10983.0,1860500.0,590.3251814028487,22.574576726686374
2018,Kuala Lumpur,227.0,229.0,72284.0,1790000.0,4038.2122905027936,12.793296089385475
2018,Melaka,185.0,191.0,19120.0,922400.0,2072.85342584562,20.706851691240242
2018,Negeri Sembilan,341.0,362.0,25123.0,1122900.0,2237.3319084513314,32.237955294327186
2018,Pahang,425.0,485.0,20641.0,1664700.0,1239.9231092689374,29.134378566708715
2018,Perak,633.0,693.0,38278.0,2503500.0,1528.9794287996804,27.681246255242662
2018,Perlis,61.0,64.0,2093.0,253500.0,825.6410256410256,25.2465483234714
2018,Pulau Pinang,381.0,390.0,45734.0,1762800.0,2594.395280235988,22.123893805309734
2018,Sabah,280.0,310.0,18006.0,3898400.0,461.8817976605787,7.951980299610097
2018,Sarawak,321.0,333.0,20600.0,2791700.0,737.9016369953792,11.92821578249812
2018,Selangor,1004.0,1046.0,163078.0,6475000.0,2518.5791505791503,16.154440154440156
2018,Terengganu,256.0,275.0,10607.0,1228300.0,863.5512496947,22.388667263697794
2019,Johor,966.0,1040.0,82502.0,3761200.0,2193.5020738062317,27.650749760714668
2019,Kedah,439.0,446.0,24867.0,2173700.0,1143.9941114229193,20.518010765054974
2019,Kelantan,310.0,338.0,11295.0,1883800.0,599.5859433060834,17.942456736383903
2019,Kuala Lumpur,209.0,209.0,73771.0,1782500.0,4138.625525946704,11.725105189340812
2019,Melaka,202.0,217.0,19593.0,928400.0,2110.404997845756,23.373545885394226
2019,Negeri Sembilan,313.0,337.0,25838.0,1126200.0,2294.2638962884034,29.923637009412182
2019,Pahang,398.0,454.0,21196.0,1671400.0,1268.1584300586335,27.162857484743327
2019,Perak,616.0,667.0,39720.0,2508800.0,1583.2270408163265,26.58641581632653
2019,Perlis,74.0,76.0,2098.0,254000.0,825.9842519685039,29.921259842519685
2019,Pulau Pinang,370.0,392.0,47198.0,1768800.0,2668.362731795568,22.161917684305745
2019,Sabah,256.0,291.0,18520.0,3904400.0,474.33664583546766,7.453129802274358
2019,Sarawak,352.0,369.0,21341.0,2806000.0,760.5488239486814,13.150392017106201
2019,Selangor,1008.0,1054.0,168222.0,6506100.0,2585.6042790611887,16.20018136825441
2019,Terengganu,251.0,277.0,11355.0,1244500.0,912.4146243471274,22.257934913619927
2020,Johor,638.0,697.0,58207.0,4009700.0,1451.6547372621394,17.38284659700227
2020,Kedah,343.0,354.0,19651.0,2131400.0,921.9761659003472,16.6088017265647
2020,Kelantan,265.0,276.0,9752.0,1792500.0,544.0446304044631,15.397489539748955
2020,Kuala Lumpur,161.0,163.0,50215.0,1982100.0,2533.4241461076635,8.223601231017607
2020,Melaka,142.0,151.0,14543.0,998400.0,1456.6306089743591,15.124198717948717
2020,Negeri Sembilan,219.0,235.0,19905.0,1200000.0,1658.7500000000002,19.583333333333336
2020,Pahang,313.0,356.0,17000.0,1591300.0,1068.3089298058192,22.37164582416892
2020,Perak,430.0,491.0,30669.0,2496000.0,1228.7259615384614,19.671474358974358
2020,Perlis,43.0,46.0,1615.0,284900.0,566.8655668655668,16.146016146016148
2020,Pulau Pinang,278.0,287.0,35234.0,1740400.0,2024.4771316938634,16.490461962767178
2020,Sabah,190.0,220.0,12906.0,3418800.0,377.5008775008775,6.435006435006435
2020,Sarawak,303.0,315.0,16158.0,2453700.0,658.515710967111,12.837755226800343
2020,Selangor,764.0,805.0,123230.0,6994400.0,1761.838041862061,11.509207365892715
2020,Terengganu,208.0,238.0,9152.0,1149400.0,796.2415173133808,20.706455542021924
2021,Johor,358.0,330.0,28157.0,4020000.0,700.4228855721393,8.208955223880597
2021,Kedah,219.0,231.0,10632.0,2151700.0,494.1209276386113,10.735697355579308
2021,Kelantan,151.0,155.0,4943.0,1812300.0,272.7473376372565,8.55266788059372
2021,Kuala Lumpur,98.0,106.0,21999.0,1964000.0,1120.112016293279,5.39714867617108
2021,Melaka,72.0,75.0,7142.0,1004500.0,711.0004977600797,7.466401194624192
2021,Negeri Sembilan,133.0,148.0,9611.0,1204200.0,798.1232353429664,12.29031722305265
2021,Pahang,161.0,180.0,8071.0,1601500.0,503.9650327817671,11.239463003434281
2021,Perak,290.0,303.0,15590.0,2515800.0,619.6835996502107,12.043882661578822
2021,Perlis,20.0,20.0,905.0,287600.0,314.673157162726,6.954102920723227
2021,Pulau Pinang,186.0,188.0,18166.0,1740000.0,1044.022988505747,10.804597701149424
2021,Sabah,99.0,119.0,7159.0,3412600.0,209.78139834730118,3.487077301764051
2021,Sarawak,143.0,156.0,7883.0,2465600.0,319.71933809214795,6.327060350421805
2021,Selangor,398.0,425.0,59847.0,7014700.0,853.1654953169772,6.058705290318902
2021,Terengganu,93.0,112.0,4548.0,1170700.0,388.48552148287354,9.566925770906296
