Year,Bicycle,Bus,Jeep,Motorcar,Motorcycle,Others,Pedestrian,Trailer/Lorry,Vans
2000,,,,,,,,,
2001,3.759398496240607,18.490566037735846,-12.25225225225225,7.604166666666656,-0.0534997770842649,-1.9112627986348163,,-13.521126760563384,-8.304498269896198
2002,-76.72101449275362,38.21656050955413,-31.21149897330595,-57.76517770709446,-73.88408124423826,-68.29041985618186,,-85.77633007600434,-48.490566037735846
2003,333.07392996108945,-39.055299539170505,71.04477611940298,166.1100196463654,289.97950352994764,-48.354059985369425,inf,836.6412213740458,93.4065934065934
2004,5.750224618149136,-3.2136105860113395,2.0942408376963373,2.6208933185677408,4.318500350385435,-36.827195467422094,-1.7041244751790585,-0.08149959250203231,-12.784090909090907
2005,-33.51741716227698,-83.0078125,-51.79487179487179,-45.74340527577938,-23.18134744031125,-38.11659192825112,-11.482412060301506,-43.066884176182704,-58.63192182410424
2006,-23.961661341853034,329.88505747126436,-17.730496453900713,-21.878453038674028,-29.335033703771174,-28.985507246376805,-20.550667045131988,-13.896848137535823,-24.934383202099742
2007,-17.731092436974794,-80.4812834224599,-1.2931034482758674,-0.5940594059405946,-6.409198721253995,-10.204081632653061,-2.179349767774208,-8.485856905158073,-1.7482517482517501
2008,-16.445352400408574,-4.109589041095896,6.986899563318771,-6.004553215708597,-3.404771086992453,1.1363636363636465,-12.381300219138058,-11.45454545454545,-14.234875444839856
2009,-4.0342298288508545,-28.57142857142857,-14.693877551020407,7.659703300030274,-2.058974505218736,-1.6853932584269704,-1.333889120466858,-6.570841889117041,-20.746887966804984
2010,-21.910828025477702,-7.9999999999999964,12.440191387559807,-15.5511811023622,-8.42068483577918,-25.71428571428571,-8.702999577524295,-12.08791208791209,11.518324607329845
2011,-2.44698205546493,389.1304347826087,110.6382978723404,62.1045621045621,3.268472593157834,105.38461538461536,-13.975011568718188,63.5,70.89201877934272
2012,-13.712374581939802,-4.8888888888888875,3.0303030303030276,-3.923582580115037,-4.649014778325123,87.64044943820224,-12.372243141473916,-12.844036697247708,-7.417582417582413
2013,-19.186046511627907,-17.757009345794394,-9.607843137254902,-15.672439598032927,-18.02389409105586,-48.30339321357285,-24.002455494168206,-19.999999999999996,-24.332344213649847
2014,-26.378896882494008,13.068181818181813,-7.158351409978303,-10.344827586206895,0.9138175515991831,33.97683397683397,9.531502423263326,7.236842105263164,-9.019607843137257
2015,-16.938110749185665,-32.1608040201005,-6.0747663551401825,4.920814479638014,-8.501170960187354,-16.138328530259372,-23.672566371681413,-4.498977505112478,4.31034482758621
2016,-5.490196078431375,2.2222222222222143,3.233830845771135,2.803234501347718,7.106902141455507,0.3436426116838476,0.48309178743961567,-13.70449678800857,-27.27272727272727
2017,59.33609958506223,-6.521739130434778,48.19277108433735,40.50865233350813,36.10004779353196,97.6027397260274,-17.78846153846154,58.56079404466501,115.90909090909092
2018,-16.666666666666664,89.92248062015504,-27.15447154471544,-23.287926852024633,-9.294158960552501,-17.50433275563258,29.005847953216367,-20.81377151799687,-31.842105263157894
2019,-37.18749999999999,-60.816326530612244,-49.77678571428571,-29.214303089272686,-35.50135501355014,-25.630252100840334,-34.2701722574796,-27.470355731225293,-34.36293436293436
