Year,Deaths,Injuries,Total_Casualties,Fatality_Ratio_Pct
2000,6035,50200,56235,10.731750689072642
2001,5849,50473,56322,10.384929512446291
2002,5891,49552,55443,10.625326912324368
2003,6286,52741,59027,10.649363850441324
2004,7376,62675,70051,10.52947138513369
2005,6200,47012,53212,11.651507178831842
2006,6287,29138,35425,17.747353563867325
2007,6282,27717,33999,18.477014029824407
2008,6527,25747,32274,20.22370948751317
2009,6745,24672,31417,21.469268230575803
2010,6872,21397,28269,24.30931408963883
2011,6877,18693,25570,26.894798592100116
2012,6917,17522,24439,28.30312205900405
2013,6915,12985,19900,34.74874371859297
2014,6674,13030,19704,33.87129516849371
2015,6706,11552,18258,36.729105049841166
2016,7152,11921,19073,37.4980338698684
2017,6740,9849,16589,40.62933269033697
2018,6284,8341,14625,42.967521367521364
2019,6167,8877,15044,40.99308694496145
