Negeri,Fatal_Accidents,Fatalities,Total_Accidents,Population,Accidents_per_100k,Fatalities_per_100k
Johor,966,1040,82502,3761200.0,2193.5020738062317,27.650749760714668
Kedah,439,446,24867,2173700.0,1143.9941114229193,20.518010765054974
Kelantan,310,338,11295,1883800.0,599.5859433060834,17.942456736383903
Kuala Lumpur,209,209,73771,1782500.0,4138.625525946704,11.725105189340812
Melaka,202,217,19593,928400.0,2110.404997845756,23.373545885394226
Negeri Sembilan,313,337,25838,1126200.0,2294.2638962884034,29.923637009412182
Pahang,398,454,21196,1671400.0,1268.1584300586335,27.162857484743327
Perak,616,667,39720,2508800.0,1583.2270408163265,26.58641581632653
Perlis,74,76,2098,254000.0,825.9842519685039,29.921259842519685
Pulau Pinang,370,392,47198,1768800.0,2668.362731795568,22.161917684305745
Sabah,256,291,18520,3904400.0,474.33664583546766,7.453129802274358
Sarawak,352,369,21341,2806000.0,760.5488239486814,13.150392017106201
Selangor,1008,1054,168222,6506100.0,2585.6042790611887,16.20018136825441
Terengganu,251,277,11355,1244500.0,912.4146243471274,22.257934913619927
