Year,Bicycle,Bus,Jeep,Motorcar,Motorcycle,Others,Pedestrian,Trailer/Lorry,Vans
2000,2128,530,555,6720,33645,4395,0,1065,1156
2001,2208,628,487,7231,33627,4311,0,921,1060
2002,514,868,335,3054,8782,1367,0,131,546
2003,2226,529,573,8127,34248,706,4049,1227,1056
2004,2354,512,585,8340,35727,446,3980,1226,921
2005,1565,87,282,4525,27445,276,3523,698,381
2006,1190,374,232,3535,19394,196,2799,601,286
2007,979,73,229,3514,18151,176,2738,550,281
2008,818,70,245,3303,17533,178,2399,487,241
2009,785,50,209,3556,17172,175,2367,455,191
2010,613,46,235,3003,15726,130,2161,400,213
2011,598,225,495,4868,16240,267,1859,654,364
2012,516,214,510,4677,15485,501,1629,570,337
2013,417,176,461,3944,12694,259,1238,456,255
2014,307,199,428,3536,12810,347,1356,489,232
2015,255,135,402,3710,11721,291,1035,467,242
2016,241,138,415,3814,12554,292,1040,403,176
2017,384,129,615,5359,17086,577,855,639,380
2018,320,245,448,4111,15498,476,1103,506,259
2019,201,96,225,2910,9996,354,725,367,170
