Negeri,Target,Train_Window,R2_Score,RMSE,MAE
Johor,Accidents_per_100k,2016-2019,0.9746,11.13,9.01
Kedah,Accidents_per_100k,2016-2019,0.334,21.76,19.77
Kelantan,Accidents_per_100k,2016-2019,0.8231,2.01,1.62
Kuala Lumpur,Accidents_per_100k,2016-2019,0.7679,51.8,43.32
Melaka,Accidents_per_100k,2016-2019,0.6947,11.53,11.52
Negeri Sembilan,Accidents_per_100k,2016-2019,0.7676,13.21,10.78
Pahang,Accidents_per_100k,2016-2019,0.0046,10.71,8.93
Perak,Accidents_per_100k,2016-2019,0.1798,17.65,14.73
Perlis,Accidents_per_100k,2016-2019,0.1025,24.87,20.8
Pulau Pinang,Accidents_per_100k,2016-2019,0.9137,25.96,21.67
Sabah,Accidents_per_100k,2016-2019,0.6702,5.73,5.03
Sarawak,Accidents_per_100k,2016-2019,0.5495,10.69,9.82
Selangor,Accidents_per_100k,2016-2019,0.9597,14.54,11.97
Terengganu,Accidents_per_100k,2016-2019,0.0149,20.11,18.51
Johor,Fatalities_per_100k,2016-2019,0.6375,1.1,0.95
Kedah,Fatalities_per_100k,2016-2019,0.9512,0.56,0.54
Kelantan,Fatalities_per_100k,2016-2019,0.886,0.94,0.9
Kuala Lumpur,Fatalities_per_100k,2016-2019,0.6747,0.32,0.32
Melaka,Fatalities_per_100k,2016-2019,0.5697,1.61,1.32
Negeri Sembilan,Fatalities_per_100k,2016-2019,0.9273,0.76,0.63
Pahang,Fatalities_per_100k,2016-2019,0.8925,0.71,0.59
Perak,Fatalities_per_100k,2016-2019,0.8974,0.62,0.54
Perlis,Fatalities_per_100k,2016-2019,0.3163,1.7,1.69
Pulau Pinang,Fatalities_per_100k,2016-2019,0.8747,0.26,0.24
Sabah,Fatalities_per_100k,2016-2019,0.9799,0.14,0.12
Sarawak,Fatalities_per_100k,2016-2019,0.6583,0.86,0.72
Selangor,Fatalities_per_100k,2016-2019,0.8646,0.29,0.28
Terengganu,Fatalities_per_100k,2016-2019,0.8893,0.98,0.81
